"archive","asset_name","download_url","source_key","title","part","file_count","source_mb","zip_mb","largest_file_mb"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part07.zip","figures_defense_reward_training_stage_part07.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part07.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","7","5","32.26","22.74","6.45"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part08.zip","figures_defense_reward_training_stage_part08.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part08.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","8","5","32.26","28.99","6.45"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part09.zip","figures_defense_reward_training_stage_part09.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part09.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","9","5","32.26","28.84","6.45"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part10.zip","figures_defense_reward_training_stage_part10.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part10.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","10","5","32.26","20.23","6.45"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part11.zip","figures_defense_reward_training_stage_part11.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part11.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","11","16","29.2","27.61","5.25"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part12.zip","figures_defense_reward_training_stage_part12.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part12.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","12","8","31.54","29.75","6.8"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part13.zip","figures_defense_reward_training_stage_part13.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part13.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","13","8","32.92","31.11","6.77"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part14.zip","figures_defense_reward_training_stage_part14.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part14.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","14","14","34.97","32.96","6.72"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part15.zip","figures_defense_reward_training_stage_part15.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part15.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","15","45","34.18","32.4","3.42"
"archives/raw_results_20260613/figures_defense_reward_training_stage_part16.zip","figures_defense_reward_training_stage_part16.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_defense_reward_training_stage_part16.zip","figures_defense_reward_training_stage","答辩奖励训练阶段原始图","16","13","25.95","25.91","2.92"
"archives/raw_results_20260613/figures_ppt_candidate_pack_20260606_part01.zip","figures_ppt_candidate_pack_20260606_part01.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_ppt_candidate_pack_20260606_part01.zip","figures_ppt_candidate_pack_20260606","PPT 候选素材包","1","9","33.83","33.63","12.6"
"archives/raw_results_20260613/figures_ppt_candidate_pack_20260606_part02.zip","figures_ppt_candidate_pack_20260606_part02.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_ppt_candidate_pack_20260606_part02.zip","figures_ppt_candidate_pack_20260606","PPT 候选素材包","2","9","28.64","28.49","6.35"
"archives/raw_results_20260613/figures_ppt_candidate_pack_20260606_part03.zip","figures_ppt_candidate_pack_20260606_part03.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_ppt_candidate_pack_20260606_part03.zip","figures_ppt_candidate_pack_20260606","PPT 候选素材包","3","6","33.69","33.18","11.31"
"archives/raw_results_20260613/figures_ppt_candidate_pack_20260606_part04.zip","figures_ppt_candidate_pack_20260606_part04.zip","https://github.com/yangyangaaaaaa/Undergraduate-Graduation-Project/releases/download/raw-results-20260613/figures_ppt_candidate_pack_20260606_part04.zip","figures_ppt_candidate_pack_20260606","PPT 候选素材包","4","5","30.28","29.6","12.05"
