family,value,run,benchmark,d4,d5,d6,d7,d8,checkpoint
gate_floor_dense,0.100,gate_floor_dense_0p1_seed321_t480k,xbd_pre_aerial,0.364750,0.434250,0.553500,0.590500,0.476750,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p1_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.100,gate_floor_dense_0p1_seed321_t480k,xbd_disaster_aerial,0.366500,0.439500,0.562000,0.603750,0.471250,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p1_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.200,gate_floor_dense_0p2_seed321_t480k,masa_aerial,0.280000,0.280000,0.560000,0.720000,0.820000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p2_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.200,gate_floor_dense_0p2_seed321_t480k,mmgag_aerial,0.319149,0.336170,0.540426,0.706383,0.795745,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p2_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.200,gate_floor_dense_0p2_seed321_t480k,mmgag_ground,0.251064,0.327660,0.540426,0.714894,0.804255,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p2_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.200,gate_floor_dense_0p2_seed321_t480k,mmgag_text,0.302128,0.306383,0.523404,0.676596,0.770213,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p2_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.200,gate_floor_dense_0p2_seed321_t480k,swissview100_aerial,0.306000,0.392000,0.554000,0.652000,0.704000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p2_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.200,gate_floor_dense_0p2_seed321_t480k,swissviewmonuments_aerial,0.317333,0.450000,0.566667,0.633333,0.666667,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p2_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.200,gate_floor_dense_0p2_seed321_t480k,swissviewmonuments_ground,0.325333,0.444444,0.583333,0.661111,0.683333,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p2_seed321_t480k/geoexplorer.pt
gate_floor_dense,0.200,gate_floor_dense_0p2_seed321_t480k,xbd_pre_aerial,0.291500,0.364250,0.504250,0.641500,0.710000,/root/geoexplorer/results/checkpoint/appendix_compare_20260519/anchor0624_gate_valdist_dense_followup/gate_floor_dense_0p2_seed321_t480k/geoexplorer.pt
