role,case_id,method_key,distance,success,path_length,final_distance,sum_external,sum_intrinsic_raw,sum_intrinsic_gated,sum_pbrs,sum_total,mean_gate,first_gate,last_gate
c6_anchor_success,img006_d6_s24_g06_r0,g0_p0_e0_v0,6,True,6,0,7.0,-0.15503722429275646,-0.15503722429275646,0.0,6.844962775707244,1.0,1.0,1.0
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g0_p0_e0_v0,6,False,10,6,-4.0,2.8904813528060895,2.8904813528060895,0.0,-1.1095186471939107,1.0,1.0,1.0
c8_anchor_success,img000_d8_s24_g00_r0,g0_p0_e0_v0,8,True,8,0,9.0,3.4011048674583426,3.4011048674583426,0.0,12.401104867458342,1.0,1.0,1.0
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g0_p0_e0_v0,8,True,10,0,7.0,2.3507684469223005,2.3507684469223005,0.0,9.350768446922302,1.0,1.0,1.0
three_method_hardcase,img189_d6_s20_g14_r0,g0_p0_e0_v0,6,False,10,2,2.0,5.686787962913512,5.686787962913512,0.0,7.686787962913511,1.0,1.0,1.0
c4_anchor_success,img011_d4_s03_g11_r0,g1_p0_e0_v0,4,False,10,2,-2.0,-0.07657885551452859,-0.02788227722048936,0.0,-2.0278822772204896,0.776875,0.8512500000000001,0.7025
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g1_p0_e0_v0,4,False,10,8,-6.0,0.5919414758682229,0.4896264927834252,0.0,-5.510373507216574,0.9405,0.8512500000000001,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g1_p0_e0_v0,6,True,6,0,7.0,-0.6446709036827101,-0.3710212823251891,0.0,6.628978717674812,0.6529166666666667,0.9008333333333334,0.405
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g1_p0_e0_v0,6,False,10,2,0.0,2.539995014667509,1.9896326980491463,0.0,1.9896326980491466,0.8115833333333333,1.0,0.6033333333333333
c8_anchor_success,img000_d8_s24_g00_r0,g1_p0_e0_v0,8,False,10,2,4.0,4.282871186733245,2.897779508642851,0.0,6.897779508642851,0.6504375,0.925625,0.55375
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g1_p0_e0_v0,8,True,8,0,9.0,2.4590784907340986,1.7056750397011626,0.0,10.705675039701163,0.6653125,0.925625,0.405
three_method_hardcase,img189_d6_s20_g14_r0,g1_p0_e0_v0,6,False,10,4,0.0,3.602479994297026,2.9348992098867877,0.0,2.9348992098867868,0.8314166666666667,0.9008333333333334,0.8016666666666666
c4_anchor_success,img011_d4_s03_g11_r0,g0_p0_e0_v1,4,False,10,2,-4.0,0.06924271583556907,0.06924271583556907,0.0,-3.9307572841644305,1.0,1.0,1.0
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g0_p0_e0_v1,4,False,10,8,-4.0,1.1492708325386025,1.1492708325386025,0.0,-2.8507291674613975,1.0,1.0,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g0_p0_e0_v1,6,True,6,0,7.0,-0.15503722429275646,-0.15503722429275646,0.0,6.844962775707244,1.0,1.0,1.0
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g0_p0_e0_v1,6,False,10,6,-4.0,2.847056090831755,2.847056090831755,0.0,-1.1529439091682454,1.0,1.0,1.0
c8_anchor_success,img000_d8_s24_g00_r0,g0_p0_e0_v1,8,True,8,0,9.0,3.3973315954208365,3.3973315954208365,0.0,12.397331595420836,1.0,1.0,1.0
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g0_p0_e0_v1,8,True,8,0,9.0,2.4123260974884015,2.4123260974884015,0.0,11.412326097488402,1.0,1.0,1.0
three_method_hardcase,img189_d6_s20_g14_r0,g0_p0_e0_v1,6,False,10,2,2.0,4.7116515040397635,4.7116515040397635,0.0,6.7116515040397635,1.0,1.0,1.0
c4_anchor_success,img011_d4_s03_g11_r0,g0_p1_e1_v0,4,True,4,0,5.0,0.5053328275680533,0.5053328275680533,0.055249999999999994,5.560582827568053,1.0,1.0,1.0
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g0_p1_e1_v0,4,False,10,8,-4.0,0.700792074203489,0.700792074203489,-0.014125000000000032,-3.3133329257965105,1.0,1.0,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g0_p1_e1_v0,6,True,6,0,7.0,-0.15503722429275646,-0.15503722429275646,0.088125,6.933087775707243,1.0,1.0,1.0
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g0_p1_e1_v0,6,False,10,4,-4.0,2.896942198276518,2.896942198276518,0.06087499999999998,-1.0421828017234818,1.0,1.0,1.0
c8_anchor_success,img000_d8_s24_g00_r0,g0_p1_e1_v0,8,False,10,2,2.0,4.592615067958831,4.592615067958831,0.10737499999999998,6.699990067958831,1.0,1.0,1.0
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g0_p1_e1_v0,8,True,8,0,9.0,2.5354770421981794,2.5354770421981794,0.12449999999999999,11.659977042198182,1.0,1.0,1.0
three_method_hardcase,img189_d6_s20_g14_r0,g0_p1_e1_v0,6,True,10,0,5.0,4.097103178501128,4.097103178501128,0.09862499999999998,9.195728178501128,1.0,1.0,1.0
c4_anchor_success,img011_d4_s03_g11_r0,g1_p0_e1_v0,4,True,4,0,5.0,0.5053328275680533,0.41408695578575083,0.0,5.41408695578575,0.628125,0.8512500000000001,0.405
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g1_p0_e1_v0,4,False,10,4,-6.0,0.9703230857849099,0.800212108939884,0.0,-5.199787891060115,0.9405,0.8512500000000001,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g1_p0_e1_v0,6,True,6,0,7.0,-0.6446709036827101,-0.3710212823251891,0.0,6.628978717674812,0.6529166666666667,0.9008333333333334,0.405
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g1_p0_e1_v0,6,True,6,0,7.0,1.7731649875640856,1.2162409862875927,0.0,8.216240986287593,0.6529166666666667,0.9008333333333334,0.405
c8_anchor_success,img000_d8_s24_g00_r0,g1_p0_e1_v0,8,False,10,2,4.0,4.0715306997299185,2.8011808047071085,0.0,6.801180804707108,0.6653125,0.925625,0.55375
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g1_p0_e1_v0,8,False,10,6,0.0,3.040493726730345,2.4046211407706126,0.0,2.4046211407706117,0.7843125,0.925625,0.8512500000000001
three_method_hardcase,img189_d6_s20_g14_r0,g1_p0_e1_v0,6,True,8,0,7.0,2.7538982629775983,1.9399139159917818,0.0,8.939913915991783,0.7025,0.9008333333333334,0.405
c4_anchor_success,img011_d4_s03_g11_r0,g1_p1_e0_v1,4,False,10,2,-4.0,-0.258009731769564,-0.1403240452706832,0.04862499999999999,-4.091699045270683,0.806625,0.8512500000000001,0.7025
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g1_p1_e0_v1,4,False,10,8,-6.0,0.37066251039504783,0.20055153355002198,-0.0036250000000000414,-5.803073466449978,0.9405,0.8512500000000001,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g1_p1_e0_v1,6,True,6,0,7.0,-0.6446709036827101,-0.3710212823251891,0.088125,6.71710371767481,0.6529166666666667,0.9008333333333334,0.405
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g1_p1_e0_v1,6,False,10,4,-4.0,2.8989386558532697,2.4213738783697267,0.06262499999999999,-1.5160011216302731,0.8314166666666667,0.9008333333333334,0.8016666666666666
c8_anchor_success,img000_d8_s24_g00_r0,g1_p1_e0_v1,8,True,8,0,9.0,3.3133620619773856,2.3259407994151107,0.12449999999999999,11.45044079941511,0.6653125,0.925625,0.405
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g1_p1_e0_v1,8,False,10,4,0.0,2.7724584937095624,2.102329619228838,0.08937499999999997,2.191704619228838,0.7396875,0.925625,0.7025
three_method_hardcase,img189_d6_s20_g14_r0,g1_p1_e0_v1,6,True,8,0,7.0,2.7538982629775983,1.9399139159917818,0.09599999999999997,9.035913915991783,0.7025,0.9008333333333334,0.405
c4_anchor_success,img011_d4_s03_g11_r0,g0_p1_e0_v1,4,True,4,0,5.0,0.5053328275680533,0.5053328275680533,0.055249999999999994,5.560582827568053,1.0,1.0,1.0
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g0_p1_e0_v1,4,False,10,2,-6.0,0.3940266370773293,0.3940266370773293,0.07137499999999997,-5.534598362922671,1.0,1.0,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g0_p1_e0_v1,6,True,6,0,7.0,-0.15503722429275646,-0.15503722429275646,0.088125,6.933087775707243,1.0,1.0,1.0
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g0_p1_e0_v1,6,False,10,8,-4.0,2.31640577316284,2.31640577316284,0.02487499999999996,-1.65871922683716,1.0,1.0,1.0
c8_anchor_success,img000_d8_s24_g00_r0,g0_p1_e0_v1,8,False,10,2,4.0,4.067523479461669,4.067523479461669,0.105625,8.173148479461668,1.0,1.0,1.0
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g0_p1_e0_v1,8,False,10,2,2.0,3.187709450721739,3.187709450721739,0.10737499999999998,5.29508445072174,1.0,1.0,1.0
three_method_hardcase,img189_d6_s20_g14_r0,g0_p1_e0_v1,6,False,10,4,-4.0,2.4484103918075544,2.4484103918075544,0.06437499999999996,-1.487214608192446,1.0,1.0,1.0
c4_anchor_success,img011_d4_s03_g11_r0,g0_p1_e0_v0,4,True,4,0,5.0,0.5053328275680533,0.5053328275680533,0.055249999999999994,5.560582827568053,1.0,1.0,1.0
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g0_p1_e0_v0,4,False,10,4,-8.0,0.7798516750335671,0.7798516750335671,0.04812499999999996,-7.172023324966433,1.0,1.0,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g0_p1_e0_v0,6,True,6,0,7.0,-0.15503722429275646,-0.15503722429275646,0.088125,6.933087775707243,1.0,1.0,1.0
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g0_p1_e0_v0,6,False,10,4,-4.0,2.680221796035765,2.680221796035765,0.06787499999999998,-1.2519032039642348,1.0,1.0,1.0
c8_anchor_success,img000_d8_s24_g00_r0,g0_p1_e0_v0,8,True,8,0,9.0,3.3973315954208365,3.3973315954208365,0.12449999999999999,12.521831595420839,1.0,1.0,1.0
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g0_p1_e0_v0,8,True,8,0,9.0,2.0437175631523115,2.0437175631523115,0.12449999999999999,11.16821756315231,1.0,1.0,1.0
three_method_hardcase,img189_d6_s20_g14_r0,g0_p1_e0_v0,6,False,10,4,0.0,4.395069181919097,4.395069181919097,0.05387499999999998,4.448944181919097,1.0,1.0,1.0
c4_anchor_success,img011_d4_s03_g11_r0,g0_p0_e1_v0,4,False,10,2,-4.0,0.5696970224380471,0.5696970224380471,0.0,-3.4303029775619516,1.0,1.0,1.0
c4_anchor_failure_or_detour,img025_d4_s12_g00_r0,g0_p0_e1_v0,4,False,10,4,-8.0,0.7798516750335671,0.7798516750335671,0.0,-7.220148324966432,1.0,1.0,1.0
c6_anchor_success,img006_d6_s24_g06_r0,g0_p0_e1_v0,6,True,6,0,7.0,-0.15503722429275646,-0.15503722429275646,0.0,6.844962775707244,1.0,1.0,1.0
c6_anchor_failure_or_detour,img050_d6_s14_g00_r0,g0_p0_e1_v0,6,False,10,8,-2.0,2.7732694149017316,2.7732694149017316,0.0,0.7732694149017321,1.0,1.0,1.0
c8_anchor_success,img000_d8_s24_g00_r0,g0_p0_e1_v0,8,False,10,4,4.0,4.1902416944503775,4.1902416944503775,0.0,8.190241694450377,1.0,1.0,1.0
c8_anchor_failure_or_detour,img054_d8_s20_g04_r0,g0_p0_e1_v0,8,False,10,4,4.0,2.5504192709922773,2.5504192709922773,0.0,6.550419270992277,1.0,1.0,1.0
three_method_hardcase,img189_d6_s20_g14_r0,g0_p0_e1_v0,6,False,10,4,0.0,4.510020613670348,4.510020613670348,0.0,4.510020613670348,1.0,1.0,1.0
c4_anchor_success,img011_d4_s03_g11_r0,g1_p1_e1_v0,4,True,4,0,5.0,0.5053328275680533,0.41408695578575083,0.055249999999999994,5.469336955785751,0.628125,0.8512500000000001,0.405
