route_index,method,method_cn,seed,episode,image_index,distance_bucket,success,initial_dist,final_dist,route_total_reward,step,prev_patch,cur_patch,action,prev_dist,next_dist,delta_dist,move_type,is_progress,is_regress,is_goal,is_near,reward_total,reward_ex,reward_ex_raw,reward_in_raw,reward_in_gated,gate_weight,finish_bonus,pbrs_bonus,reward_positive,reward_strong_positive
9,external_only,仅外在,123,5,18,C6,0,6.0,4.0,-2.0,6,12,17,down,3.0,4.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.16521495580673196,0.0,1.0,0.0,0.0,0,0
10,external_only,仅外在,123,5,19,C7,0,7.0,4.0,-5.0,1,20,15,up,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.6033797264099119,0.0,1.0,0.0,0.0,0,0
10,external_only,仅外在,123,5,19,C7,0,7.0,4.0,-5.0,2,15,16,right,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.24118852615356423,0.0,1.0,0.0,0.0,0,0
10,external_only,仅外在,123,5,19,C7,0,7.0,4.0,-5.0,3,16,17,right,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.16537559032440163,0.0,1.0,0.0,0.0,0,0
10,external_only,仅外在,123,5,19,C7,0,7.0,4.0,-5.0,4,17,18,right,4.0,3.0,1.0,progress,1,0,0,0,1.0,1.0,1.0,0.4649965167045591,0.0,1.0,0.0,0.0,1,1
10,external_only,仅外在,123,5,19,C7,0,7.0,4.0,-5.0,5,18,17,left,3.0,4.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.5613614320755003,0.0,1.0,0.0,0.0,0,0
10,external_only,仅外在,123,5,19,C7,0,7.0,4.0,-5.0,6,17,12,up,4.0,3.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.4688770771026609,0.0,1.0,0.0,0.0,0,0
10,external_only,仅外在,123,5,19,C7,0,7.0,4.0,-5.0,7,12,11,left,3.0,4.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.46479654312133767,0.0,1.0,0.0,0.0,0,0
11,external_only,仅外在,123,5,20,C8,0,8.0,5.0,-9.0,1,0,1,right,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.7154555320739744,0.0,1.0,0.0,0.0,0,0
11,external_only,仅外在,123,5,20,C8,0,8.0,5.0,-9.0,2,1,6,down,7.0,6.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.5295939445495603,0.0,1.0,0.0,0.0,0,0
11,external_only,仅外在,123,5,20,C8,0,8.0,5.0,-9.0,3,6,7,right,6.0,5.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.4700167179107664,0.0,1.0,0.0,0.0,0,0
11,external_only,仅外在,123,5,20,C8,0,8.0,5.0,-9.0,4,7,12,down,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.6905729770660398,0.0,1.0,0.0,0.0,0,0
11,external_only,仅外在,123,5,20,C8,0,8.0,5.0,-9.0,5,12,11,left,4.0,5.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.5979756712913511,0.0,1.0,0.0,0.0,0,0
11,external_only,仅外在,123,5,20,C8,0,8.0,5.0,-9.0,6,11,12,right,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.09365928173065163,0.0,1.0,0.0,0.0,0,0
11,external_only,仅外在,123,5,20,C8,0,8.0,5.0,-9.0,7,12,7,up,4.0,5.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.577718138694763,0.0,1.0,0.0,0.0,0,0
11,external_only,仅外在,123,5,20,C8,0,8.0,5.0,-9.0,8,7,8,right,5.0,4.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.6949163675308225,0.0,1.0,0.0,0.0,0,0
11,external_only,仅外在,123,5,20,C8,0,8.0,5.0,-9.0,9,8,3,up,4.0,5.0,-1.0,regress,0,1,0,0,-1.0,-1.0,-1.0,0.6126318573951719,0.0,1.0,0.0,0.0,0,0
12,external_only,仅外在,123,10,1,C8,0,8.0,4.0,-8.0,1,4,9,down,8.0,7.0,1.0,progress,1,0,0,0,-1.0,-1.0,-1.0,0.6171683669090269,0.0,1.0,0.0,0.0,0,0
