run_progress,metric,value_mean,value_std,n
0.22142857142857142,reward_in_gated_mean,0.4112064271284494,0.001277858078584289,3
0.22857142857142856,reward_in_gated_mean,0.4107964276039488,0.0007826651670532055,3
0.2357142857142857,reward_in_gated_mean,0.4101805833372938,0.0006071633784175598,3
0.24285714285714285,reward_in_gated_mean,0.40950330921709505,0.000526233899918047,3
0.25,reward_in_gated_mean,0.40899221772368805,0.0009609403637811896,3
0.2571428571428571,reward_in_gated_mean,0.4087051874176007,0.000735522979789787,3
0.2642857142857143,reward_in_gated_mean,0.4082256104266291,0.001021786771267232,3
0.2714285714285714,reward_in_gated_mean,0.40857495714246506,0.00033721727553166823,3
0.2785714285714286,reward_in_gated_mean,0.4087157843958844,0.00017364691463878044,3
0.2857142857142857,reward_in_gated_mean,0.40876563710559316,0.0005421289286298572,3
0.29285714285714287,reward_in_gated_mean,0.4095838797751899,0.000488989148091907,3
0.3,reward_in_gated_mean,0.41013886748923517,0.0006888004628777345,3
0.3071428571428571,reward_in_gated_mean,0.41037351406900086,0.0011816819161118272,3
0.3142857142857143,reward_in_gated_mean,0.4100701120777083,0.0012050554777460075,3
0.3214285714285714,reward_in_gated_mean,0.4098093929162672,0.0014297209552697624,3
0.32857142857142857,reward_in_gated_mean,0.40873223364859673,0.0007468095201995976,3
0.3357142857142857,reward_in_gated_mean,0.4084472115201389,0.0003842941774580194,3
0.34285714285714286,reward_in_gated_mean,0.40790882031276565,0.0012485190948981779,3
0.35,reward_in_gated_mean,0.407653831183973,0.0009174686643236126,3
0.35714285714285715,reward_in_gated_mean,0.40744407026605156,0.0011342336601309073,3
0.36428571428571427,reward_in_gated_mean,0.4077427229038156,0.0007191438875818379,3
0.37142857142857144,reward_in_gated_mean,0.4073208661253736,0.0011797507643159762,3
0.37857142857142856,reward_in_gated_mean,0.4075330623144396,0.001531997294080694,3
0.3857142857142857,reward_in_gated_mean,0.4084201888639807,0.0019505748527269295,3
0.39285714285714285,reward_in_gated_mean,0.4080752573420077,0.0018864845742195655,3
0.39999999999999997,reward_in_gated_mean,0.4085981333306457,0.001447544953552577,3
0.40714285714285714,reward_in_gated_mean,0.4082680006417891,0.0014479516039718227,3
0.41428571428571426,reward_in_gated_mean,0.4081535065389292,0.0020404318833217422,3
0.42142857142857143,reward_in_gated_mean,0.40815588595226426,0.0023692633722625636,3
0.42857142857142855,reward_in_gated_mean,0.40803299631389267,0.0028994733585974565,3
0.4357142857142857,reward_in_gated_mean,0.4079979511374497,0.00198159514579723,3
0.44285714285714284,reward_in_gated_mean,0.4071436183803711,0.002212590600976041,3
0.45,reward_in_gated_mean,0.40723020493061907,0.002127846791912547,3
0.45714285714285713,reward_in_gated_mean,0.4066646439107641,0.0021428598512648806,3
0.46428571428571425,reward_in_gated_mean,0.4062874091684557,0.0018183316054666105,3
0.4714285714285714,reward_in_gated_mean,0.4059877823378448,0.001647872670286282,3
0.47857142857142854,reward_in_gated_mean,0.4059497094837083,0.0016109840737173109,3
0.4857142857142857,reward_in_gated_mean,0.40606279404427914,0.002284772565435743,3
0.4928571428571428,reward_in_gated_mean,0.4053191104290179,0.0023431018543050544,3
0.5,reward_in_gated_mean,0.40552195127442076,0.0023733796998717106,3
0.5071428571428571,reward_in_gated_mean,0.4044180329256952,0.002305094919610455,3
0.5142857142857142,reward_in_gated_mean,0.4042550280044681,0.001387899269350714,3
0.5214285714285715,reward_in_gated_mean,0.40422093440926826,0.001309066338774921,3
0.5285714285714286,reward_in_gated_mean,0.4048349634968243,0.0019122173671971144,3
0.5357142857142857,reward_in_gated_mean,0.40448659566239176,0.0020211453115078176,3
0.5428571428571428,reward_in_gated_mean,0.4048903682879967,0.0021300166551628218,3
0.5499999999999999,reward_in_gated_mean,0.4052592472938861,0.0024420272737269194,3
0.5571428571428572,reward_in_gated_mean,0.4060691420507799,0.0027169988954114737,3
0.5642857142857143,reward_in_gated_mean,0.4072921868125398,0.003225662715455163,3
0.5714285714285714,reward_in_gated_mean,0.4070425579767291,0.003599309579626537,3
0.5785714285714285,reward_in_gated_mean,0.40697067643163987,0.0033627399877544134,3
0.5857142857142857,reward_in_gated_mean,0.40691787562826254,0.0018828666401813424,3
0.5928571428571429,reward_in_gated_mean,0.40687032588864075,0.002040876372050339,3
0.6,reward_in_gated_mean,0.40670214243749275,0.001961444723874181,3
0.6071428571428571,reward_in_gated_mean,0.4065613303487227,0.002200948382544732,3
0.6142857142857142,reward_in_gated_mean,0.4055680459479362,0.001957591931167057,3
0.6214285714285714,reward_in_gated_mean,0.40527629127353454,0.00135374911481054,3
0.6285714285714286,reward_in_gated_mean,0.405550963451931,0.0012349229642097921,3
0.6357142857142857,reward_in_gated_mean,0.4057494999906232,0.0019540120050834035,3
0.6428571428571428,reward_in_gated_mean,0.40606033019846244,0.00301440980954496,3
0.65,reward_in_gated_mean,0.4061291711933408,0.003533269740882071,3
0.6571428571428571,reward_in_gated_mean,0.4058443091841677,0.0033014982257649587,3
0.6642857142857143,reward_in_gated_mean,0.4056101880891288,0.0028696753908249435,3
0.6714285714285714,reward_in_gated_mean,0.4065113751921332,0.002973435457250683,3
0.6785714285714286,reward_in_gated_mean,0.40602575716525796,0.0035818924177400215,3
0.6857142857142857,reward_in_gated_mean,0.40557796171022126,0.003485850133274805,3
0.6928571428571428,reward_in_gated_mean,0.40537505723041045,0.0024230274179913576,3
0.7,reward_in_gated_mean,0.4049994439685792,0.00216706586667093,3
0.7071428571428571,reward_in_gated_mean,0.40455284128948615,0.0022924495105505287,3
