method,dataset,distance,case_id,success,final_distance,path_length,optimal_steps,detour_steps,progress_ratio,monotonic_step_rate,regress_step_rate,immediate_backtrack_rate,revisit_rate,unique_coverage
GeoExplorer-anchor0624,swissviewmonuments,6,img304_d6_s10_g04_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,8,img304_d8_s20_g04_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img305_d4_s17_g05_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,6,img305_d6_s19_g05_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img306_d4_s18_g06_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,6,img306_d6_s24_g06_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-anchor0624,swissviewmonuments,4,img307_d4_s21_g07_r0,False,4,10,4,6,0.0,0.5,0.5,0.4444444444444444,0.5454545454545454,0.45454545454545453
GeoExplorer-anchor0624,swissviewmonuments,4,img308_d4_s16_g08_r0,False,4,10,4,6,0.0,0.5,0.5,0.4444444444444444,0.45454545454545453,0.5454545454545454
GeoExplorer-anchor0624,swissviewmonuments,6,img308_d6_s20_g08_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.5555555555555556,0.45454545454545453,0.5454545454545454
GeoExplorer-anchor0624,swissviewmonuments,4,img309_d4_s05_g09_r0,False,2,10,4,6,0.5,0.6,0.4,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-anchor0624,swissviewmonuments,6,img309_d6_s21_g09_r0,True,0,8,6,2,1.0,0.875,0.125,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img310_d4_s14_g10_r0,False,4,10,4,6,0.0,0.5,0.5,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img310_d6_s24_g10_r0,True,0,10,6,4,1.0,0.8,0.2,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img311_d4_s23_g11_r0,False,2,10,4,6,0.5,0.6,0.4,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img312_d4_s00_g12_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img313_d4_s01_g13_r0,False,2,10,4,6,0.5,0.6,0.4,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,4,img314_d4_s16_g14_r0,False,2,10,4,6,0.5,0.6,0.4,0.4444444444444444,0.45454545454545453,0.5454545454545454
GeoExplorer-anchor0624,swissviewmonuments,6,img314_d6_s00_g14_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,4,img315_d4_s19_g15_r0,True,0,6,4,2,1.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,6,img315_d6_s09_g15_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,4,img316_d4_s14_g16_r0,True,0,4,4,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,6,img316_d6_s04_g16_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img317_d4_s03_g17_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,4,img318_d4_s10_g18_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,6,img318_d6_s00_g18_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img319_d4_s11_g19_r0,False,2,10,4,6,0.5,0.6,0.4,0.5555555555555556,0.45454545454545453,0.5454545454545454
GeoExplorer-anchor0624,swissviewmonuments,6,img319_d6_s05_g19_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,4,img320_d4_s18_g20_r0,False,6,10,4,6,-0.5,0.4,0.6,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,6,img320_d6_s08_g20_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,8,img320_d8_s04_g20_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img321_d4_s07_g21_r0,False,2,10,4,6,0.5,0.6,0.4,0.2222222222222222,0.36363636363636365,0.6363636363636364
GeoExplorer-anchor0624,swissviewmonuments,6,img321_d6_s09_g21_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img322_d4_s14_g22_r0,False,2,10,4,6,0.5,0.6,0.4,0.1111111111111111,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,6,img322_d6_s00_g22_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img323_d4_s09_g23_r0,True,0,8,4,4,1.0,0.75,0.25,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,6,img323_d6_s01_g23_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img324_d4_s20_g24_r0,False,4,10,4,6,0.0,0.5,0.5,0.2222222222222222,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img324_d6_s06_g24_r0,True,0,6,6,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,8,img324_d8_s00_g24_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img325_d4_s20_g00_r0,False,6,10,4,6,-0.5,0.4,0.6,0.1111111111111111,0.09090909090909091,0.9090909090909091
GeoExplorer-anchor0624,swissviewmonuments,6,img325_d6_s14_g00_r0,False,4,10,6,4,0.3333333333333333,0.6,0.4,0.3333333333333333,0.2727272727272727,0.7272727272727273
GeoExplorer-anchor0624,swissviewmonuments,8,img325_d8_s24_g00_r0,True,0,8,8,0,1.0,1.0,0.0,0.0,0.0,1.0
GeoExplorer-anchor0624,swissviewmonuments,4,img326_d4_s17_g01_r0,False,6,10,4,6,-0.5,0.4,0.6,0.1111111111111111,0.18181818181818182,0.8181818181818182
GeoExplorer-anchor0624,swissviewmonuments,6,img326_d6_s23_g01_r0,False,2,10,6,4,0.6666666666666666,0.7,0.3,0.3333333333333333,0.2727272727272727,0.7272727272727273
